platform,app_id,app_name,publisher_name,categories
gp,com.talking.wowacat,WOWaCAT,SIA Reklāmas Rīma,"GAME_MUSIC, GAME"
gp,com.arcade.xiaoxiaobuyu,多人捕魚_小小遊戲聯網版-深海機台小霸王掌上1000打魚達人,Judy Deng,"GAME, GAME_CASINO"
gp,com.wsohbetmobil1_4535913,sohbetmobil1.com sohbetmobil1,Umut Turk,"APPLICATION, DATING"
gp,com.turner.mixelrush,Mixels Rush,Cartoon Network,"GAME_ACTION, GAME, FAMILY, FAMILY_ACTION"
gp,air.com.tutotoons.app.princesscleanuptime,Princess Castle Cleanup,TutoTOONS Kids Games,"GAME_EDUCATIONAL, GAME, FAMILY, FAMILY_ACTION"
gp,com.quizup.core,QuizUp,Glu,"GAME, GAME_TRIVIA"
gp,com.mattel.bestjobever,Barbie™ Best Job Ever,Mattel,"GAME_CASUAL, GAME, FAMILY, FAMILY_PRETEND"
gp,net.androbook.material110611215730_7fb639cb,DEMENTIA 21 Vol.1 English Ver.,BOOKLOUD Inc.,"APPLICATION, COMICS"
gp,air.com.spilgames.PuppetSoccerChampions2015,Puppet Soccer Football 2015,Spil Games,"GAME_SPORTS, GAME, FAMILY, FAMILY_ACTION"
gp,ru.sputnik.browser,Спутник / Браузер,Спутник,"COMMUNICATION, APPLICATION"
gp,com.games2win.superschooldriver,Super School Driver 3D,Games2win.com,"GAME, GAME_RACING"
gp,com.ffp.RFLW,Rapscallions: Four Letter Words,Funky Finger Productions Inc,"GAME, GAME_WORD"
gp,com.nebo.pics4,4 Pics 1 Word: Reloaded,Nebo Apps,"GAME, GAME_WORD"
gp,com.gmail.manzhangdev.Corona,Hi Words - Word Search Game,HI STUDIO LIMITED,"GAME, GAME_WORD"
gp,com.apprope.wordbubbles,WordBubbles,Apprope,"GAME, GAME_WORD"
gp,com.fundroid.images4.word1.ar1,أربع صور وكلمة - احزر الكلمة,SmileDroid,"GAME, GAME_WORD"
gp,com.biftektech.backgammonx,Backgammon xPlus,Biftek,"GAME, GAME_BOARD"
gp,com.silicondroid.battleship3dfree,Battleship 3D War Free,Silicon Droid,"GAME, GAME_BOARD"
gp,com.realarcade.CLB,Collapse! Blast: Match 3 Free,GameHouse,"GAME, GAME_PUZZLE"
gp,us.com.mine.sweeper.classic.game,Mine Sweeper Classic,Katon Software,"GAME, GAME_PUZZLE"
gp,com.blotinteractive.Bloxiq,bloxiq,Blot Interactive,"GAME, GAME_PUZZLE"
gp,qqapp.cocos2dx.math24,Math24 - A puzzle of math 24,12KK,"GAME, GAME_PUZZLE"
